iter	Logloss	Accuracy
0	0.5477137725	0.9017632419
1	0.4509685651	0.9023983377
2	0.380786518	0.9024359035
3	0.3327623879	0.9026683415
4	0.3022615749	0.9030627817
5	0.2763604374	0.903125
6	0.2598539265	0.9032306536
7	0.2474933856	0.9031848704
8	0.2383449907	0.9035476146
9	0.2310496983	0.9036145285
10	0.2255642748	0.9038669234
11	0.2217990431	0.9041334053
12	0.2181707209	0.904172145
13	0.2150492977	0.9040077949
14	0.2127210289	0.904337669
15	0.2107296778	0.9043306255
16	0.2094838086	0.9043928437
17	0.2079239499	0.9044233659
18	0.207081197	0.9044315834
19	0.2064681308	0.9043846262
20	0.2057433027	0.904487932
21	0.2049840089	0.9045078888
22	0.204491949	0.9045677592
23	0.2040869801	0.9045689331
24	0.2038234146	0.9046288035
25	0.2034276353	0.90462176
26	0.2032442455	0.904721544
27	0.2029917223	0.9046933696
28	0.2028353329	0.904736805
29	0.2025974655	0.9047638054
30	0.2023928166	0.9047450225
31	0.202230906	0.9047743708
32	0.2020663358	0.9047778926
33	0.2019473287	0.9048178062
34	0.2018629525	0.9048389369
35	0.2017615727	0.9048354151
36	0.2015666638	0.9048459805
37	0.2014858094	0.9048424587
38	0.2013860254	0.9049258077
39	0.2012757494	0.9049586777
40	0.2012016084	0.9049469384
41	0.2011149578	0.9049645473
42	0.2010318839	0.9049481123
43	0.2009462238	0.9049903738
44	0.2008689829	0.9050079827
45	0.2007623938	0.9050396788
46	0.2007220583	0.9050772446
47	0.2006670854	0.9050925056
48	0.2006358662	0.9050960274
49	0.2005888723	0.9050678531
50	0.2005373845	0.9050819403
51	0.200494316	0.9050819403
52	0.2004284109	0.9051018971
53	0.2003833797	0.9050936796
54	0.2003517019	0.9051124624
55	0.2002977562	0.9051746807
56	0.2002764237	0.9051770285
57	0.2002339971	0.9051676371
58	0.2001920842	0.9051782025
59	0.2001689541	0.9051711589
60	0.2001463009	0.9052145943
61	0.2001243631	0.9052404207
62	0.200085917	0.9052169421
63	0.2000634839	0.9052333772
64	0.2000405556	0.9052404207
65	0.2000220479	0.9053120304
66	0.1999982758	0.9052979433
67	0.1999778971	0.9053038129
68	0.1999610219	0.9053331612
69	0.1999408817	0.905351944
70	0.1999224656	0.9053331612
71	0.199904178	0.9053777705
72	0.1998901275	0.9054165101
73	0.1998760404	0.9055127724
74	0.1998454999	0.9055162941
75	0.1998221864	0.9055397727
76	0.1997884359	0.9055374249
77	0.1997639852	0.9055503381
78	0.1997486507	0.9055292074
79	0.19973737	0.905518642
80	0.1997195776	0.9055374249
81	0.199699364	0.905552686
82	0.1996872395	0.9055632513
83	0.1996763807	0.9055726427
84	0.1996584599	0.9055585556
85	0.1996219581	0.905552686
86	0.1996061834	0.9055655992
87	0.1995956364	0.9055972953
88	0.1995794581	0.9055867299
89	0.1995686176	0.9056055128
90	0.1995566399	0.9056477742
91	0.1995446071	0.9056876878
92	0.1995359127	0.9056595135
93	0.1995247787	0.9056771225
94	0.1995167263	0.9056829921
95	0.199504345	0.9056994271
96	0.199495192	0.9056571657
97	0.1994855621	0.905684166
98	0.1994759689	0.9057229057
99	0.1994468041	0.9057264275
100	0.1994324051	0.9057287754
101	0.1994187215	0.9057546018
102	0.1994037906	0.9057487322
103	0.1993942158	0.9057205579
104	0.1993821463	0.9057123403
105	0.1993735803	0.9057123403
106	0.1993643356	0.9057452104
107	0.1993482124	0.9057463843
108	0.1993400132	0.9057745586
109	0.1993261279	0.9057639932
110	0.199317892	0.9057475582
