iter	Passed	Remaining
0	4	4782
1	7	3988
2	10	3502
3	13	3346
4	16	3262
5	18	3129
6	21	3070
7	24	3024
8	26	2965
9	29	2904
10	32	2907
11	35	2904
12	38	2920
13	42	2963
14	45	2992
15	48	2978
16	52	3025
17	55	3021
18	58	3017
19	61	3017
20	65	3035
21	67	3018
22	70	3015
23	73	2997
24	77	3010
25	79	2989
26	83	3008
27	86	3009
28	89	3008
29	92	2997
30	96	3004
31	99	3000
32	102	2992
33	105	2989
34	109	3007
35	112	3014
36	116	3027
37	119	3021
38	122	3022
39	125	3020
40	128	3006
41	132	3032
42	136	3041
43	139	3028
44	142	3025
45	145	3024
46	150	3050
47	154	3055
48	157	3048
49	162	3084
50	165	3076
51	167	3060
52	172	3075
53	174	3062
54	177	3049
55	180	3039
56	183	3028
57	186	3030
58	190	3034
59	193	3031
60	196	3018
61	198	3007
62	201	2996
63	204	2985
64	207	2979
65	210	2981
66	213	2975
67	216	2963
68	218	2954
69	221	2945
70	224	2935
71	227	2928
72	230	2930
73	233	2923
74	236	2916
75	239	2912
76	242	2912
77	246	2917
78	250	2915
79	253	2918
80	256	2911
81	260	2910
82	263	2914
83	267	2917
84	271	2919
85	275	2925
86	278	2924
87	282	2932
88	287	2941
89	291	2946
90	295	2949
91	299	2952
92	302	2948
93	305	2946
94	309	2944
95	313	2949
96	316	2941
97	318	2932
98	321	2925
99	324	2924
100	328	2922
101	331	2919
102	334	2914
103	337	2907
104	340	2899
105	343	2900
106	346	2893
107	349	2890
108	353	2888
109	355	2880
110	359	2876
111	361	2867
112	364	2863
113	367	2859
114	370	2851
115	373	2849
116	376	2842
117	379	2836
118	382	2829
119	384	2822
120	387	2816
121	390	2809
122	393	2803
123	396	2800
124	399	2793
125	402	2789
126	405	2789
127	408	2785
128	411	2776
129	414	2773
130	417	2769
131	421	2770
132	423	2763
133	427	2762
134	430	2758
135	433	2754
136	438	2761
137	441	2754
138	443	2748
139	446	2745
140	451	2749
141	454	2748
142	457	2743
143	461	2741
144	465	2742
145	468	2741
146	471	2736
147	474	2733
148	478	2732
149	481	2730
150	484	2726
151	488	2724
152	490	2717
153	494	2717
154	498	2715
155	501	2714
156	507	2726
157	511	2724
158	515	2727
159	520	2734
160	525	2738
161	529	2739
162	532	2735
163	536	2735
164	541	2738
165	543	2732
166	548	2736
167	552	2737
168	556	2735
169	559	2732
170	564	2737
171	569	2739
172	573	2742
173	578	2745
174	581	2739
175	584	2735
176	588	2735
177	591	2731
178	594	2728
179	598	2724
180	601	2720
181	603	2713
182	607	2710
183	610	2706
184	613	2701
185	615	2695
186	619	2692
187	622	2687
188	625	2684
189	628	2679
190	631	2675
191	634	2671
192	637	2666
193	640	2660
194	643	2657
195	646	2653
196	650	2649
197	652	2644
198	655	2640
199	659	2636
200	662	2632
201	664	2626
202	668	2623
203	671	2618
204	673	2613
205	676	2608
206	679	2603
207	682	2598
208	685	2594
209	688	2591
210	692	2588
211	695	2585
212	699	2583
213	702	2581
214	706	2578
215	709	2574
216	713	2575
217	717	2573
218	721	2571
219	725	2570
220	728	2569
221	732	2567
222	736	2566
223	741	2567
224	748	2578
225	753	2580
226	760	2588
227	764	2586
228	767	2582
229	770	2579
230	774	2579
231	779	2579
232	783	2578
233	787	2578
234	790	2573
235	794	2572
236	798	2570
237	801	2567
238	805	2564
239	810	2565
240	815	2567
241	819	2566
242	823	2564
243	826	2560
244	830	2559
245	834	2557
246	838	2557
247	841	2551
248	845	2550
249	849	2548
250	853	2547
251	858	2546
252	862	2546
253	867	2547
254	871	2545
255	876	2545
256	880	2546
257	885	2547
258	888	2543
259	893	2542
260	898	2545
261	902	2542
262	906	2540
263	909	2535
264	913	2534
265	919	2537
266	923	2534
267	929	2537
268	933	2535
269	936	2532
270	940	2528
271	943	2524
272	947	2522
273	952	2523
274	957	2523
275	963	2528
276	968	2527
277	971	2522
278	974	2517
279	976	2512
280	979	2506
281	982	2500
282	986	2498
283	1005	2535
284	1009	2532
285	1012	2527
286	1020	2534
287	1025	2535
288	1034	2545
289	1047	2563
290	1051	2561
291	1062	2576
292	1066	2572
293	1070	2570
294	1082	2586
295	1091	2595
296	1095	2593
297	1099	2590
298	1102	2585
299	1106	2582
300	1110	2578
301	1114	2575
302	1117	2570
303	1121	2566
304	1124	2563
305	1128	2559
306	1131	2555
307	1135	2551
308	1139	2548
309	1142	2543
310	1146	2540
311	1151	2540
312	1155	2537
313	1162	2540
314	1166	2535
315	1170	2534
316	1174	2530
317	1178	2526
318	1181	2522
319	1185	2520
320	1190	2518
321	1194	2515
322	1197	2510
323	1201	2505
324	1203	2500
325	1207	2496
326	1210	2491
327	1214	2487
328	1217	2483
329	1221	2479
330	1225	2477
331	1228	2472
332	1231	2467
333	1234	2461
334	1238	2457
335	1241	2452
336	1245	2449
337	1247	2444
338	1251	2440
339	1254	2436
340	1258	2431
341	1261	2427
342	1264	2422
343	1268	2418
344	1272	2416
345	1275	2410
346	1278	2406
347	1281	2401
348	1284	2396
349	1287	2391
350	1291	2388
351	1295	2385
352	1299	2382
353	1303	2378
354	1306	2374
355	1311	2371
356	1316	2370
357	1319	2367
358	1323	2363
359	1327	2359
360	1332	2359
361	1336	2356
362	1346	2362
363	1351	2361
364	1355	2358
365	1364	2362
366	1374	2371
367	1381	2372
368	1385	2369
369	1391	2369
370	1395	2366
371	1402	2367
372	1406	2364
373	1411	2362
374	1414	2358
375	1418	2354
376	1421	2349
377	1426	2346
378	1429	2342
379	1433	2338
380	1438	2337
381	1442	2333
382	1448	2332
383	1451	2328
384	1455	2325
385	1461	2324
386	1466	2322
387	1471	2321
388	1474	2315
389	1477	2311
390	1481	2307
391	1485	2303
392	1488	2299
393	1491	2293
394	1494	2288
395	1497	2283
396	1500	2278
397	1502	2273
398	1506	2269
399	1510	2265
400	1514	2261
401	1517	2257
402	1520	2251
403	1522	2246
404	1526	2242
405	1528	2236
406	1532	2232
407	1536	2229
